dir_path	before	after
R:\アニメ\_MISC	Saikin Imouto no Yousu ga Chotto Okashiinda ga OVA _ Watch anime online, English anime online.mp4	Saikin Imouto no Yousu ga Chotto Okashiinda ga OVA.mp4
R:\アニメ\_MISC	Saki Biyori OVA _ Watch anime online, English anime online.mp4	Saki Biyori OVA.mp4
R:\アニメ\_MISC	UVERworld  D technolife  Live.mp4	UVERworld D technolife Live.mp4
R:\アニメ\クビキリサイクル_Eng	Kubikiri Cycle_ Aoiro Savant to Zaregototsukai OVA 7 _ Watch anime online, English anime online.mp4	Kubikiri Cycle_ Aoiro Savant to Zaregototsukai OVA 7.mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online (1).mp4	Kizumonogatari III- Reiketsu-hen (Movie) (1).mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online (2).mp4	Kizumonogatari III- Reiketsu-hen (Movie) (2).mp4
R:\アニメ\傷物語 冷血編_Eng	Kizumonogatari III- Reiketsu-hen (Movie) - Watch anime online, English anime online.mp4	Kizumonogatari III- Reiketsu-hen (Movie).mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 12  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#12_Eng.mp4
C:\Users\works\yet\IC	Boku no Hero Academia 3rd Season Episode 13  Watch anime online, English anime online.mp4	Boku no Hero Academia 3rd Season_#13_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 10  Watch anime online, English anime online.mp4	3D Kanojo Real Girl_#10_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 12  Watch anime online, English anime online.mp4	3D Kanojo Real Girl_#12_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 7  Watch anime online, English anime online.mp4	3D Kanojo Real Girl_#07_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 8  Watch anime online, English anime online.mp4	3D Kanojo Real Girl_#08_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 9  Watch anime online, English anime online.mp4	3D Kanojo Real Girl_#09_Eng.mp4
C:\Users\works\yet\meditation	Day 1 - Ease Into It - 30 Days of Yoga.mp4	Day - Ease Into It - 30 Days of Yoga.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 11  Watch anime online, English anime online (1).mp4	3D Kanojo Real Girl_#11.mp4
C:\Users\works\yet	3D Kanojo Real Girl Episode 11  Watch anime online, English anime online (1).mp4	3D Kanojo Real Girl_#11.
C:\Users\works\yet	3D Kanojo Real Girl_#07_Eng.mp4	3D Kanojo Real Girl_#07_Eng_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl_#08_Eng.mp4	3D Kanojo Real Girl_#08_Eng_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl_#09_Eng.mp4	3D Kanojo Real Girl_#09_Eng_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl_#10_Eng.mp4	3D Kanojo Real Girl_#10_Eng_Eng.mp4
C:\Users\works\yet	3D Kanojo Real Girl_#12_Eng.mp4	3D Kanojo Real Girl_#12_Eng_Eng.mp4
C:\Users\works\yet	【サガフロ2】TASさんが最少ターン数クリアに挑戦 part10 - ニコニコ動画.mp4	【サガフロ2】TASさんが最少ターン数クリアに挑戦 part10 - ニコニコ動画_Eng.mp4
C:\Users\works\yet	【サガフロ2】補助術禁止最少戦闘回数縛り part1 【ゆっくり実況】 - ニコニコ動画.mp4	【サガフロ2】補助術禁止最少戦闘回数縛り part1 【ゆっくり実況】 - ニコニコ動画_Eng.mp4
C:\Users\works\yet	【サガフロ2】補助術禁止最少戦闘回数縛り part7 【ゆっくり実況】 - ニコニコ動画.mp4	【サガフロ2】補助術禁止最少戦闘回数縛り part7 【ゆっくり実況】 - ニコニコ動画_Eng.mp4
C:\Users\works\yet	ロマサガ3 一人旅 ～体術最強伝説～%E3%80%80其の24 - ニコニコ動画.mp4	ロマサガ3 一人旅 ～体術最強伝説～%E3%80%80其の24 - ニコニコ動画_Eng.mp4
C:\Users\works\yet	ロマサガ3 一人旅 ～体術最強伝説～%E3%80%80其の25 - ニコニコ動画.mp4	ロマサガ3 一人旅 ～体術最強伝説～%E3%80%80其の25 - ニコニコ動画_Eng.mp4
C:\Users\works\yet\meditation	174 Hz _ Pain Relief Music for Sleep _ Solfeggio Sleep Music _ 9 Hours.mp4	174 Hz _ Pain Relief Music for Sleep _ Solfeggio Sleep Music _ 9 Hours_Eng.mp4
C:\Users\works\yet\meditation	285 Hz _ Solfeggio Sleep Music _ Heals Tissues _ Deep Sleep Meditation Music, Healing Music _ 9 Hrs.mp4	285 Hz _ Solfeggio Sleep Music _ Heals Tissues _ Deep Sleep Meditation Music, Healing Music _ 9 Hrs_Eng.mp4
C:\Users\works\yet\meditation	396 Hz _ LET GO of FEAR _ Remove NEGATIVE BLOCKS _ Marimba Meditation Music.mp4	396 Hz _ LET GO of FEAR _ Remove NEGATIVE BLOCKS _ Marimba Meditation Music_Eng.mp4
C:\Users\works\yet\meditation	417 Hz _ Wipes out all the Negative Energy _ 9 Hours.mp4	417 Hz _ Wipes out all the Negative Energy _ 9 Hours_Eng.mp4
C:\Users\works\yet\meditation	528 Hz _ Repairs DNA & Brings Positive Transformation _ Solfeggio Sleep Music.mp4	528 Hz _ Repairs DNA & Brings Positive Transformation _ Solfeggio Sleep Music_Eng.mp4
C:\Users\works\yet\meditation	741 Hz _ DETOX & CLEANSE AURA _ Remove Toxins & Negative Blocks _ Marimba Meditation Music.mp4	741 Hz _ DETOX & CLEANSE AURA _ Remove Toxins & Negative Blocks _ Marimba Meditation Music_Eng.mp4
C:\Users\works\yet\meditation	852 Hz _ Transform Cells to Higher Energy Systems in Sleep _ Solfeggio Sleep Meditation Music.mp4	852 Hz _ Transform Cells to Higher Energy Systems in Sleep _ Solfeggio Sleep Meditation Music_Eng.mp4
C:\Users\works\yet\meditation	963 Hz _ Pineal Gland Activation _ Sleep Music _ Solfeggio Sleep Meditation Music.mp4	963 Hz _ Pineal Gland Activation _ Sleep Music _ Solfeggio Sleep Meditation Music_Eng.mp4
C:\Users\works\yet\meditation	Aura Cleansing Sleep Meditation_ 7 Chakras cleansing meditation music, sleep meditation.mp4	Aura Cleansing Sleep Meditation_ 7 Chakras cleansing meditation music, sleep meditation_Eng.mp4
